basis F_compressed_cl F_original_cl F_prc_cl F_total F_patt_cl F_nb_patts F_residuals_cl F_nb_residuals F_nb_simple F_nb_concat F_nb_nested F_nb_other F_nbO_>3 F_nbO_max F_nbO_mean F_nbO_median F_nbOdup_>3 F_nbOdup_max F_nbOdup_mean F_nbOdup_median F_r_>3 F_r_max F_r_mean F_r_median F_nb_cands F_time S_compressed_cl S_original_cl S_prc_cl S_total S_patt_cl S_nb_patts S_residuals_cl S_nb_residuals S_nb_simple S_nb_concat S_nb_nested S_nb_other S_nbO_>3 S_nbO_max S_nbO_mean S_nbO_median S_nbOdup_>3 S_nbOdup_max S_nbOdup_mean S_nbOdup_median S_r_>3 S_r_max S_r_mean S_r_median S_nb_cands S_time V_compressed_cl V_original_cl V_prc_cl V_total V_patt_cl V_nb_patts V_residuals_cl V_nb_residuals V_nb_simple V_nb_concat V_nb_nested V_nb_other V_nbO_>3 V_nbO_max V_nbO_mean V_nbO_median V_nbOdup_>3 V_nbOdup_max V_nbOdup_mean V_nbOdup_median V_r_>3 V_r_max V_r_mean V_r_median V_nb_cands V_time H_compressed_cl H_original_cl H_prc_cl H_total H_patt_cl H_nb_patts H_residuals_cl H_nb_residuals H_nb_simple H_nb_concat H_nb_nested H_nb_other H_nbO_>3 H_nbO_max H_nbO_mean H_nbO_median H_nbOdup_>3 H_nbOdup_max H_nbOdup_mean H_nbOdup_median H_r_>3 H_r_max H_r_mean H_r_median H_nb_cands H_time V+H_compressed_cl V+H_original_cl V+H_prc_cl V+H_total V+H_patt_cl V+H_nb_patts V+H_residuals_cl V+H_nb_residuals V+H_nb_simple V+H_nb_concat V+H_nb_nested V+H_nb_other V+H_nbO_>3 V+H_nbO_max V+H_nbO_mean V+H_nbO_median V+H_nbOdup_>3 V+H_nbOdup_max V+H_nbOdup_mean V+H_nbOdup_median V+H_r_>3 V+H_r_max V+H_r_mean V+H_r_median V+H_nb_cands V+H_time evNbO_>10 evNbO_max evNbO_mean evNbO_median nb_rounds size_ABC size_O size_T runtime_cycles runtime_combine runtime_mining
3zap_0_rel_v01 1952299.86723 4154277.32346 46.994934 8012.0 1280929.10115 8012.0 671370.766082 25982.0 3499.0 4154.0 91.0 268.0 7714 2325 19.9531952072 8.0 7714 2325 19.9539440839 8.0 6484 2325 13.6987019471 4.0 327993 2826.899557 2339741.82767 4154277.32346 56.321272 11852.0 1385387.10469 11852.0 954354.722979 37048.0 11852.0 0 0 0 11101 2325 12.2465406682 5.0 11101 2325 12.2465406682 5.0 11101 2325 12.2465406682 5.0 183699 2550.124821 2290523.01305 4154277.32346 55.136498 11162.0 1377365.58946 11162.0 913157.42359 35270.0 10581.0 0 581.0 0 10421 2325 13.1940512453 5.0 10421 2325 13.1945887834 5.0 10339 2325 12.6293674969 5.0 189109 2233.396092 1987311.13104 4154277.32346 47.83771 8371.0 1297092.588 8371.0 690218.543039 26773.0 3459.0 4912.0 0 0 8088 2325 18.950065703 8.0 8088 2325 18.950065703 8.0 6706 2325 13.2951857604 4.0 307028 2903.908483 1969139.15318 4154277.32346 47.400282 8220.0 1291160.72557 8220.0 677978.427606 26261.0 3499.0 4302.0 419.0 0 7933 2325 19.3663017032 8.0 7933 2325 19.3663017032 8.0 6669 2325 13.4798053528 4.0 312438 2946.675934 275 36697 410.031602709 22.0 4 443 181644 181643 2094.591627 30127.491633 35048.982817
3zap_1_rel_v01 1353263.94906 2849285.11047 47.494859 5856.0 871434.010161 5856.0 481829.938897 19662.0 3181.0 2368.0 83.0 224.0 5698 4653 19.3198428962 7.0 5698 4653 19.3198428962 7.0 5036 4653 14.6832308743 4.0 237600 2089.134944 1544589.36511 2849285.11047 54.209716 8604.0 923415.101003 8604.0 621174.264111 25280.0 8604.0 0 0 0 8231 4653 12.2149000465 5.0 8231 4653 12.2149000465 5.0 8231 4653 12.2149000465 5.0 137019 1948.28506 1516077.98469 2849285.11047 53.209066 7927.0 901775.612725 7927.0 614302.37197 24984.0 7471.0 0 456.0 0 7563 4653 13.327488331 5.0 7563 4653 13.3277406333 5.0 7550 4653 12.6037593036 5.0 141688 1801.062759 1379470.94477 2849285.11047 48.414634 6326.0 890637.087263 6326.0 488833.857509 19980.0 3492.0 2834.0 0 0 6159 4653 17.7671514385 8.0 6159 4653 17.7671514385 8.0 5486 4653 14.0742965539 4.0 220319 2120.382654 1370402.60485 2849285.11047 48.096366 6118.0 881871.770548 6118.0 488530.834304 19969.0 3286.0 2503.0 329.0 0 5975 4653 18.4073226545 8.0 5975 4653 18.4073226545 8.0 5326 4653 14.3321346845 4.0 224988 2078.069604 167 29376 605.289719626 57.0 4 214 129532 129531 1697.494291 28339.319837 32125.949072
UbiqLog_10_M_ISE_abs_v01 15927.282889 23110.254884 68.918681 118.0 10107.672013 118.0 5819.610876 315.0 66.0 52.0 0 0 100 30 8.50847457627 6.0 100 30 8.50847457627 6.0 74 25 6.05084745763 4.0 2639 0.386065 16908.829482 23110.254884 73.165915 147.0 11335.318115 147.0 5573.511367 297.0 147.0 0 0 0 107 25 6.79591836735 5.0 107 25 6.79591836735 5.0 107 25 6.79591836735 5.0 1630 0.3197 16908.829482 23110.254884 73.165915 147.0 11335.318115 147.0 5573.511367 297.0 147.0 0 0 0 107 25 6.79591836735 5.0 107 25 6.79591836735 5.0 107 25 6.79591836735 5.0 1630 0.311455 15927.282889 23110.254884 68.918681 118.0 10107.672013 118.0 5819.610876 315.0 66.0 52.0 0 0 100 30 8.50847457627 6.0 100 30 8.50847457627 6.0 74 25 6.05084745763 4.0 2639 0.394815 15927.282889 23110.254884 68.918681 118.0 10107.672013 118.0 5819.610876 315.0 66.0 52.0 0 0 100 30 8.50847457627 6.0 100 30 8.50847457627 6.0 74 25 6.05084745763 4.0 2639 0.387896 17 194 75.8823529412 28.0 2 17 1290 21116 14.273337 3.426663 18.086065
UbiqLog_10_M_IS_rel_v01 4255.006032 10899.982575 39.036815 15.0 3738.344354 15.0 516.661678 34.0 15.0 0 0 0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 149 1.527049 4255.006032 10899.982575 39.036815 15.0 3738.344354 15.0 516.661678 34.0 15.0 0 0 0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 124 1.536632 4255.006032 10899.982575 39.036815 15.0 3738.344354 15.0 516.661678 34.0 15.0 0 0 0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 128 1.526999 4255.006032 10899.982575 39.036815 15.0 3738.344354 15.0 516.661678 34.0 15.0 0 0 0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 145 1.530606 4255.006032 10899.982575 39.036815 15.0 3738.344354 15.0 516.661678 34.0 15.0 0 0 0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 15 334 58.0666666667 8.0 149 1.525835 7 334 129.285714286 101.0 2 7 905 904 7.011035 7.36074 15.898824
UbiqLog_11_F_ISE_abs_v01 395154.593978 766086.578184 51.580932 2613.0 278679.37926 2613.0 116475.214718 5062.0 1282.0 1329.0 0 2.0 2151 294 12.9066207424 6.0 2151 294 12.9066207424 6.0 1855 96 5.90853425182 4.0 102908 242.307229 508461.596862 766086.578184 66.371297 4382.0 350145.302303 4382.0 158316.294558 7047.0 4382.0 0 0 0 3593 96 6.72889091739 4.0 3593 96 6.72889091739 4.0 3593 96 6.72889091739 4.0 60077 294.965898 508739.182964 766086.578184 66.407531 4379.0 349435.691189 4379.0 159303.491775 7095.0 4373.0 0 6.0 0 3586 96 6.72094085408 4.0 3586 96 6.72094085408 4.0 3585 96 6.71043617264 4.0 60151 302.234353 394797.137151 766086.578184 51.534272 2615.0 279295.714725 2615.0 115501.422427 5016.0 1279.0 1336.0 0 0 2165 294 12.9086042065 6.0 2165 294 12.9086042065 6.0 1863 96 5.91472275335 4.0 102465 242.240908 395014.232462 766086.578184 51.56261 2610.0 278722.716836 2610.0 116291.515627 5057.0 1270.0 1339.0 1.0 0 2160 294 12.914559387 6.0 2160 294 12.914559387 6.0 1853 96 5.90689655172 4.0 102539 242.948376 85 2240 413.709302326 94.5 4 86 35579 92393 511.006898 2537.16018 3290.474307
UbiqLog_11_F_IS_rel_v01 218542.139316 496154.446652 44.0472 1074.0 156617.685397 1074.0 61924.453919 2924.0 915.0 159.0 0 0 955 2816 22.1433891993 6.0 955 2816 22.1433891993 6.0 875 1409 17.5884543762 5.0 25520 120.865636 227300.902135 496154.446652 45.812529 1186.0 163525.380771 1186.0 63775.521365 3001.0 1186.0 0 0 0 999 1409 19.9654300169 5.0 999 1409 19.9654300169 5.0 999 1409 19.9654300169 5.0 18974 111.540335 227300.902135 496154.446652 45.812529 1186.0 163525.380771 1186.0 63775.521365 3001.0 1186.0 0 0 0 999 1409 19.9654300169 5.0 999 1409 19.9654300169 5.0 999 1409 19.9654300169 5.0 18978 112.564687 218542.139316 496154.446652 44.0472 1074.0 156617.685397 1074.0 61924.453919 2924.0 915.0 159.0 0 0 955 2816 22.1433891993 6.0 955 2816 22.1433891993 6.0 875 1409 17.5884543762 5.0 25510 121.243865 218542.139316 496154.446652 44.0472 1074.0 156617.685397 1074.0 61924.453919 2924.0 915.0 159.0 0 0 955 2816 22.1433891993 6.0 955 2816 22.1433891993 6.0 875 1409 17.5884543762 5.0 25514 121.324871 48 4160 541.06122449 108.0 3 49 26512 26511 223.366296 710.772896 1055.004828
UbiqLog_12_M_ISE_abs_v01 273725.101863 528938.861171 51.749857 1542.0 175699.863735 1542.0 98025.238128 4224.0 705.0 835.0 1.0 1.0 1201 215 14.308690013 7.0 1201 215 14.308690013 7.0 860 58 5.56225680934 4.0 76336 94.50951 373721.866208 528938.861171 70.655022 3068.0 245745.720799 3068.0 127976.145409 5604.0 3068.0 0 0 0 2169 58 6.12646675359 4.0 2169 58 6.12646675359 4.0 2169 58 6.12646675359 4.0 41351 125.063391 373711.784755 528938.861171 70.653116 3068.0 245756.310457 3068.0 127955.474298 5603.0 3067.0 0 1.0 0 2171 58 6.12744458931 4.0 2171 58 6.12744458931 4.0 2171 58 6.12483702738 4.0 41386 126.115924 273712.408573 528938.861171 51.747457 1537.0 175568.894025 1537.0 98143.514548 4228.0 702.0 835.0 0 0 1205 215 14.357839948 7.0 1205 215 14.357839948 7.0 866 58 5.58685751464 4.0 76198 93.361788 273753.273204 528938.861171 51.755183 1542.0 175674.015866 1542.0 98079.257338 4225.0 705.0 836.0 1.0 0 1205 215 14.3093385214 7.0 1205 215 14.3093385214 7.0 864 58 5.56679636835 4.0 76233 94.870196 102 1153 234.349514563 80.0 3 103 24138 79753 202.263364 1056.140806 1352.91368
UbiqLog_12_M_IS_rel_v01 170502.732237 356307.856124 47.852645 991.0 120464.678275 991.0 50038.053962 2376.0 817.0 174.0 0 0 818 1560 16.8213925328 5.0 818 1560 16.8213925328 5.0 750 312 10.438950555 4.0 24715 42.502672 190797.054131 356307.856124 53.548371 1139.0 139758.68935 1139.0 51038.364781 2417.0 1139.0 0 0 0 893 312 14.545215101 5.0 893 312 14.545215101 5.0 893 312 14.545215101 5.0 16369 36.113762 190797.054131 356307.856124 53.548371 1139.0 139758.68935 1139.0 51038.364781 2417.0 1139.0 0 0 0 893 312 14.545215101 5.0 893 312 14.545215101 5.0 893 312 14.545215101 5.0 16369 36.054494 170502.732237 356307.856124 47.852645 991.0 120464.678275 991.0 50038.053962 2376.0 817.0 174.0 0 0 818 1560 16.8213925328 5.0 818 1560 16.8213925328 5.0 750 312 10.438950555 4.0 24715 42.528377 170502.732237 356307.856124 47.852645 991.0 120464.678275 991.0 50038.053962 2376.0 817.0 174.0 0 0 818 1560 16.8213925328 5.0 818 1560 16.8213925328 5.0 750 312 10.438950555 4.0 24715 42.695036 68 1600 272.565217391 73.0 2 69 18807 18806 148.032948 211.63187 402.16749
UbiqLog_13_F_ISE_abs_v01 199456.75238 279248.529891 71.42625 1319.0 114765.483855 1319.0 84691.268525 3847.0 812.0 506.0 0 1.0 1063 59 7.46853677028 6.0 1063 59 7.46853677028 6.0 831 59 5.35633055345 4.0 33576 31.514329 213301.182073 279248.529891 76.383995 1651.0 118828.557262 1651.0 94472.624811 4297.0 1651.0 0 0 0 1191 59 5.54088431254 4.0 1191 59 5.54088431254 4.0 1191 59 5.54088431254 4.0 22914 27.739865 213301.182073 279248.529891 76.383995 1651.0 118828.557262 1651.0 94472.624811 4297.0 1651.0 0 0 0 1191 59 5.54088431254 4.0 1191 59 5.54088431254 4.0 1191 59 5.54088431254 4.0 22924 27.511862 199390.261987 279248.529891 71.402439 1323.0 114467.7127 1323.0 84922.549287 3860.0 818.0 505.0 0 0 1058 59 7.42176870748 6.0 1058 59 7.42176870748 6.0 827 59 5.32653061224 4.0 33547 31.868207 199390.261987 279248.529891 71.402439 1323.0 114467.7127 1323.0 84922.549287 3860.0 818.0 505.0 0 0 1058 59 7.42176870748 6.0 1058 59 7.42176870748 6.0 827 59 5.32653061224 4.0 33557 31.719753 72 2183 182.575342466 42.0 4 73 13328 78490 122.82161 180.422553 334.758492
UbiqLog_13_F_IS_rel_v01 99398.254264 190835.411056 52.085854 499.0 63078.367298 499.0 36319.886966 1849.0 416.0 83.0 0 0 494 2275 18.6172344689 6.0 494 2275 18.6172344689 6.0 461 2275 17.8096192385 5.0 12556 58.345709 100663.225647 190835.411056 52.748714 531.0 61737.914508 531.0 38925.311139 1981.0 531.0 0 0 0 523 2275 17.1732580038 5.0 523 2275 17.1732580038 5.0 523 2275 17.1732580038 5.0 9046 56.253424 100663.225647 190835.411056 52.748714 531.0 61737.914508 531.0 38925.311139 1981.0 531.0 0 0 0 523 2275 17.1732580038 5.0 523 2275 17.1732580038 5.0 523 2275 17.1732580038 5.0 9047 55.828837 99398.254264 190835.411056 52.085854 499.0 63078.367298 499.0 36319.886966 1849.0 416.0 83.0 0 0 494 2275 18.6172344689 6.0 494 2275 18.6172344689 6.0 461 2275 17.8096192385 5.0 12555 57.733797 99398.254264 190835.411056 52.085854 499.0 63078.367298 499.0 36319.886966 1849.0 416.0 83.0 0 0 494 2275 18.6172344689 6.0 494 2275 18.6172344689 6.0 461 2275 17.8096192385 5.0 12556 57.984031 45 2742 239.760869565 69.0 2 46 11029 11028 84.679042 713.599081 856.623832
