=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	0 << Perfect match
505.489597 505.489597 2497.684468
579.031012 579.031012 3042.090452
572.162686 572.162686 3063.148981
545.047209 545.047209 2800.742079
502.081317 502.081317 2421.320814
532.529675 532.529675 2577.503997
503.597238 503.597238 2556.331064
482.347345 482.347345 2232.707220
543.507268 543.507268 2701.215084
418.037976 418.037976 2006.424281
570.995679 570.995679 2961.332489
413.021674 413.021674 1981.507622
575.083843 575.083843 3019.906397
464.976475 464.976475 2431.433839
445.224021 445.224021 2166.992051
552.376024 552.376024 2611.545263
456.162155 456.162155 2211.045122
558.724993 558.724993 2822.902128
530.243230 530.243230 2538.034593
571.013454 571.013454 3000.378711
