=== SETTINGS ===
{'k_up': 5, 'k_low': 2, 't0_up': 1.5, 't0_low': 1.2}
45/100	(0.450)	0 << Perfect match
46/100	(0.460)	3 << Patts cover match, some worse, worse code length
9/100	(0.090)	4 << Patts cover match, some worse, better code length
2297.954600 2439.563788 12500.523401
2709.871511 2845.393585 14403.514699
15349.010173 3783.593351 26536.818335
1363.365309 1329.495877 7938.410165
1474.855260 1519.947109 8192.020028
11720.099999 3916.924971 25450.123361
1279.516593 1279.516593 7598.956396
3666.532971 3945.527283 24933.451448
1033.648994 1488.736016 5335.911891
3179.669717 3654.729650 19354.617172
1763.138507 2228.126030 9402.981718
2678.836302 2678.836302 16069.774586
2822.891820 3018.365846 17665.681767
2611.490813 2907.494503 15899.788696
2637.415949 2799.068737 17133.901279
2128.323740 2128.323740 14423.173085
2741.494386 2837.366454 14934.613905
3208.837828 3427.352024 19766.513020
3144.587419 3144.587419 21282.533214
3152.332353 3419.326640 17684.619884
2432.230961 3418.266679 14979.956349
21082.736363 6076.516321 43963.035638
2401.397616 2814.345381 12036.684163
3408.378444 4579.654522 20636.782262
2558.904182 3039.983233 16481.718637
1539.839536 1643.824212 7524.554038
3095.626924 3095.626924 20241.141775
4670.876158 5795.416000 30829.693306
2861.306822 2964.357735 17746.899111
15955.435652 6098.818259 37417.655575
2620.419738 3946.406775 14111.371135
856.817317 1085.207969 3910.322939
1493.346185 1911.257484 7666.606759
1767.524690 2206.832173 9088.543579
23455.479893 6847.038618 50859.326180
1031.718511 1164.357041 5205.464370
2017.191812 2081.834066 11624.367736
2754.065832 2893.225281 18678.922594
808.857367 808.857367 3871.065895
3487.782925 3536.008371 23797.149788
3082.202588 3134.440140 19875.772878
2765.060441 3525.269437 18595.514531
1102.478879 1129.651304 5443.567151
12554.968553 4121.668755 29789.951628
2743.973764 2743.973419 18831.153459
3598.968456 3762.551785 23928.241686
5616.997315 5918.078208 39707.686007
3072.418581 3243.299120 19197.112182
1141.724927 1614.772529 5300.548145
1504.732978 1657.135453 8423.454689
13760.500798 4424.849444 32726.003070
2294.299201 2375.320687 15428.184892
1266.037617 1587.654424 6662.769884
4252.684587 4789.900650 28905.784241
2222.765560 2289.330597 11892.113914
1997.994349 1997.994349 11407.939584
1594.089271 1594.089271 9053.592095
2087.128738 2645.572129 10447.513744
1272.988678 1272.988678 6258.712671
3356.175374 4469.035229 20181.722227
1458.605090 1502.720400 9125.218531
4264.856156 4431.987683 29303.196020
1897.934337 2324.427665 10130.579782
1842.099792 1994.094511 10223.004760
2751.117480 2822.908570 17911.031255
3212.730831 3980.756466 19071.834383
5393.909746 5515.334325 40252.410189
1855.842022 2158.143130 9580.499008
1559.452117 1721.138511 7947.715622
4290.323682 5496.948024 29150.077874
13904.070749 4110.061644 30131.992473
4578.042061 4688.013349 29037.183722
2509.013853 2487.554158 17711.674563
2266.209834 2655.078071 11501.613445
3188.449947 3665.819366 16756.125983
680.712939 876.711921 2966.471622
974.279134 974.279134 4975.235992
1740.587296 1998.734462 10068.323107
2478.692564 2478.692564 14625.818602
879.008720 879.008720 4351.411553
2980.204416 3463.771539 18436.102146
1273.007736 1591.728881 5967.911378
3302.735056 3762.353180 23344.199417
1185.475415 1185.475415 6264.248810
2292.266495 2514.240594 13906.941102
1495.445232 1591.396647 7855.732938
1428.607896 1506.768960 7424.743167
2913.732351 2913.732351 16807.808444
1290.355206 1867.001970 6648.116433
3737.346305 3775.358000 24595.343946
4645.482357 5163.910863 31974.850590
4031.277221 4078.008764 29514.757448
4965.559446 5400.793507 33458.757105
1243.072614 1315.149655 6440.865150
1652.302572 1698.750221 9008.878583
2988.332839 3672.910241 16487.140803
1172.423760 1172.423760 5957.113254
2802.055291 2985.747007 19267.197042
1196.677920 1393.387743 6337.869617
3072.775719 3358.095675 20759.719520
