=== SETTINGS ===
{'noise_lvl': 3, 'level': 1, 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': True}
20/20	(1.000)	0 << Perfect match
421.359441 421.359441 2007.106346
501.949029 501.949029 2595.378448
428.451855 428.451855 1940.901810
550.084684 550.084684 2648.539017
523.935418 523.935418 2569.435523
607.796547 607.796547 2986.246595
560.864718 560.864718 2454.694974
459.839696 459.839696 2185.903623
402.299852 402.299852 1914.290217
427.863412 427.863412 2043.125591
416.565057 416.565057 2017.053387
569.803715 569.803715 2685.899889
613.031012 613.031012 3042.525894
471.261691 471.261691 2230.486461
430.556596 430.556596 2003.665837
461.623710 461.623710 2029.131044
564.002222 564.002222 2705.609890
462.193160 462.193160 2114.730407
469.713440 469.713440 2180.607685
569.294531 569.294531 2641.578061
