=== SETTINGS ===
{'k_up': 5, 'k_low': 2, 't0_up': 0.9, 't0_low': 0.2}
59/100	(0.590)	6 << Overall cover match, worse code length
35/100	(0.350)	9 << No cover match, worse code length
6/100	(0.060)	10 << No cover match, better code length
2115.181293 4878.589134 11669.874336
1536.985471 2319.158832 8288.006867
2752.826161 3503.537254 12729.628711
4505.543146 6308.976070 24791.708217
753.504011 2354.959833 3410.693716
597.350012 1016.506798 1962.868882
4292.735404 7296.416009 25447.520073
2359.292913 4153.529312 13013.480694
692.067229 1471.734494 2829.635702
3624.495234 4921.905469 24084.704291
1860.122683 2669.819828 9129.580343
20801.869974 9475.290965 46419.409412
711.599134 1675.852703 2586.415091
2744.457607 5991.914173 13144.444303
9925.392932 7592.364082 20419.971615
1752.720134 3305.472228 7782.100363
5047.758202 7263.291257 33256.707993
2232.552514 4682.702042 12098.974159
2352.423184 3064.078787 10987.738341
685.980753 1451.817900 2915.842718
1101.995439 1700.333547 4597.086411
2509.929743 4133.557731 13382.834794
2320.558659 3486.101784 11062.421139
3493.539546 3552.017919 25394.164989
5150.142586 4137.802830 11451.616238
1272.400866 2199.541107 6036.726675
2175.067383 3833.047987 11249.774033
1204.860988 1739.083122 5307.797551
2326.523906 4644.998139 13552.295714
1112.747204 1460.510398 5338.395167
1702.224249 2462.565230 6851.129231
2067.648709 3983.575167 11281.621480
3461.046654 7655.939615 19362.468195
18714.033123 8442.206205 37442.769989
1680.264571 2978.474017 9399.782046
4446.493907 6404.618698 26400.096996
1581.266732 2680.392514 8342.136064
920.949383 1404.221045 3851.572445
2227.955563 2907.721853 11566.132851
1670.343816 2297.429475 8122.625286
1620.505011 1672.889047 8094.173633
1064.659226 1852.503473 4270.671117
2054.734074 3025.358584 9230.087592
998.468877 1473.145963 4502.769491
2471.465694 3567.240606 15537.864292
2366.428860 3585.650293 11671.949509
3009.047502 5277.011970 16322.323381
2918.918046 5302.549754 16331.725612
2031.175965 3510.904363 7845.578614
3523.748839 4971.102349 21921.303303
16904.611818 6108.893961 28074.833113
2749.516095 2967.833745 12917.097652
2073.017611 4005.474284 10850.674986
2682.796140 4471.549719 17980.687212
1640.992852 2405.664244 6635.319299
779.684158 1125.056296 3512.833857
2634.296988 4603.442155 12809.838865
2382.278220 3368.414056 11639.600850
3239.973800 4468.418087 14032.350739
4225.498842 6161.297881 26323.514590
2363.948441 3475.159303 10975.213843
2041.189022 3573.460978 9657.749154
3484.252083 6007.213808 19210.104469
1336.777812 1770.889396 6169.115352
1005.696101 1386.585448 4052.891106
3526.049899 4388.126253 20693.548320
4776.693313 8232.495763 30233.792090
5100.298122 7406.827683 33233.397096
2823.722851 5210.437785 14361.216534
1257.198574 1675.814883 4854.161231
1142.517215 2145.066014 5865.534425
3275.907579 4958.772978 17265.393319
2415.741385 3914.797112 13901.682337
3605.266924 6014.131418 19034.004540
3305.139861 3737.128495 20376.457974
3711.897715 6934.990983 20499.523285
4839.321962 6455.662707 30359.896640
2179.484858 3701.177461 10621.972983
2311.881397 3574.058958 11756.399963
18923.378171 5685.786372 29506.275374
1227.434792 1924.962913 5296.095366
968.136786 2019.428817 3601.275058
2349.676323 3740.984217 10875.103264
1817.471715 2798.479935 8526.667813
2070.581653 2723.290044 9357.179930
2041.653925 4464.591726 10144.544809
5118.573555 9110.412286 31521.640542
2431.339754 3950.344202 11065.345863
2154.891684 3025.656605 10387.958554
1871.920602 3260.416426 9479.588761
929.596691 2085.291696 3700.070692
1910.797626 3784.108605 10100.435838
2115.857007 4070.285007 11896.431250
2223.383174 4760.509215 12334.946032
3896.158694 7878.062541 22364.015970
5893.895167 11888.368196 41898.152172
761.413158 1192.843760 2442.063867
860.937106 1347.942875 3381.193009
1937.821558 3741.080000 10462.070460
1089.542445 2537.475179 5665.730216
