=== SETTINGS ===
{'noise_lvl': 0, 'level': 2, 'add_noise': [('a', 0.1)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
293.504344 344.462247 928.888204
276.587856 387.931287 894.170554
806.572332 1359.379305 3139.366406
549.784851 683.121210 1982.851361
331.858111 486.482385 1124.832434
289.258305 408.104841 910.979821
322.095121 431.756089 1088.100236
288.714937 384.830725 954.203451
543.986582 750.389070 2063.322971
442.548446 683.297894 1601.875385
623.320250 920.979287 2297.813018
457.553097 593.280070 1651.473907
529.795997 705.540060 1895.478768
372.124933 531.992695 1282.585636
544.450086 775.188668 2028.025061
672.395537 1252.922867 2583.224047
620.551377 1236.561874 2474.597064
388.949181 796.591253 1403.527339
418.610930 464.706172 1428.579350
750.678292 1425.259168 2961.477731
