=== SETTINGS ===
{'k_up': 5, 'k_low': 2, 't0_up': 1.5, 't0_low': 1.2}
81/100	(0.810)	9 << No cover match, worse code length
19/100	(0.190)	10 << No cover match, better code length
4164.570592 5690.184777 16813.371555
19499.950116 9283.890257 34692.950261
28127.749604 12742.376382 51778.081455
6357.842979 8242.293732 28728.439153
2451.730819 2465.427283 8897.031901
840.878099 983.537232 2860.579848
1889.747793 2177.875015 7301.466749
23538.728568 10556.835614 42090.911081
1815.759389 1904.609548 6809.734022
5272.310556 6142.943984 23686.362747
945.758749 1518.590009 3122.452940
6428.228174 6201.823762 27953.045412
3324.729081 3493.799065 14028.709732
2599.914204 3728.360032 10287.007161
4401.921781 5163.478113 18658.085905
5586.988355 6166.709413 26163.650347
7144.555521 7809.159096 33739.753951
5065.276488 7898.639833 23771.642364
2474.990218 2884.253297 9701.640667
5112.664271 7746.689435 22448.941620
2351.018407 2322.727057 10337.677045
3264.461738 4535.398162 14188.764618
3735.322717 4607.805976 16220.705345
4843.643083 5326.508304 20147.963147
1951.761590 3163.471638 7149.610360
1728.310413 2212.917404 6727.130879
4053.410953 5748.232983 18541.266246
4329.061020 4304.290408 17474.308501
3321.646484 3876.256484 14504.445887
24485.031044 9079.718885 39218.484970
1349.767130 1669.902784 5338.555405
4643.923796 5294.048897 19078.383941
1681.421560 1515.691954 6726.051863
8699.165200 11307.543015 39739.058338
2407.499489 2418.971570 9319.223789
6418.731383 8749.270031 29496.129275
5058.282672 5715.175276 22282.631071
5101.277081 7330.777038 22181.392176
3773.244787 3941.196990 17065.431739
3768.285626 3695.111446 15543.973222
1699.574506 2098.403741 6363.883576
4927.479199 6223.245922 20084.957132
3813.853522 4396.522836 15587.344515
2940.834908 3580.209157 11455.634870
2368.159202 3068.293595 9242.551648
5375.325914 6733.311568 24808.495571
4791.210874 6785.536333 21978.113662
4999.480318 6690.396161 20596.892806
2740.975016 3417.352598 10749.835914
4724.910154 7062.664792 20786.386364
2566.263735 3700.862861 9895.455636
4999.097011 5543.472272 22665.771850
2884.388424 3124.707978 12023.981759
8031.188444 7992.722282 37758.101950
3425.432388 4410.364517 13960.298864
1725.725727 1774.365624 6980.995184
4604.997601 6024.862817 18748.120630
3485.875160 4097.257834 13592.538676
1687.067528 1618.128580 6308.140786
4165.152627 5005.411461 19003.288408
2002.497787 2086.129860 7789.796145
1121.730958 1397.007413 4136.090093
6568.377287 8355.902872 30959.027081
5155.571508 5340.747219 21799.405257
2451.344808 2134.078875 10382.368287
4627.685655 5769.170806 19757.402904
6757.791217 9039.173212 30320.940852
3146.942495 4003.631859 11692.562727
2644.463855 3314.798689 10300.298170
14607.324914 8928.229147 41701.087453
8335.601562 9776.066366 39317.213453
1717.338664 2811.557146 6107.220733
7623.064318 8295.441670 34810.214122
716.584425 903.765881 2246.230174
4605.441635 4628.269666 18773.440554
2564.117396 2790.067480 9953.792346
3898.469964 4621.233733 17557.441947
24755.813757 11723.388005 51177.445645
942.643357 1169.450419 3202.386203
5363.743209 7399.445826 24154.954113
5590.653872 5351.599272 24055.218864
13301.273180 8703.094201 34767.160356
33776.455516 13172.734091 53955.620021
2913.586263 5269.458836 12265.934939
2698.240150 2540.316599 10770.114328
4116.684910 4579.507719 17373.573396
8594.699501 9822.175556 39833.087709
1751.987495 2210.612689 7055.485109
2871.078628 3590.983211 11476.372237
4033.634395 3795.264108 17208.488566
1824.137136 3203.968565 6830.646789
4200.436313 5128.884987 18884.039415
2556.880341 3111.058132 9581.553759
3103.474007 3943.856969 11799.708358
1320.151708 1706.581634 5019.540304
3543.576799 4428.855530 14477.217729
3339.425283 5433.836758 14439.230488
3084.443953 3550.177229 12254.031646
7064.798939 7127.453305 32769.540519
4472.556539 6211.558128 19503.182650
