=== SETTINGS ===
{'noise_lvl': 3, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
2009.069054 3281.563491 4363.572785
1303.899911 1790.797952 2819.901300
1373.744070 2195.468718 2920.568313
1989.840485 2931.137527 4294.716309
1638.272864 1703.563108 3630.724703
1301.598684 1947.533419 2799.034184
1390.391392 2338.050937 3008.866506
1628.893878 2730.271811 3506.737867
1894.942294 2806.197309 4122.303249
1551.633345 2132.049595 3332.840174
1308.350703 1387.558424 2897.623864
1897.495535 1971.231002 4112.820308
1314.552471 2041.567422 2827.178489
1609.016095 2164.311058 3491.201588
1950.645566 2440.150435 4220.373312
1475.557742 1476.077659 3171.838408
1532.913660 1834.494319 3247.058727
1826.048130 2364.353701 3953.636056
1697.203615 2103.625033 3689.195854
1309.725156 1461.019330 2722.588853
