=== SETTINGS ===
{'k_up': 5, 'k_low': 2, 't0_up': 1.5, 't0_low': 1.2}
38/100	(0.380)	9 << No cover match, worse code length
62/100	(0.620)	10 << No cover match, better code length
5139.998745 4536.796491 11616.352012
2879.818056 3835.021792 6416.582978
15026.397726 12889.484065 36956.156741
13754.484258 15062.371752 32625.208567
10945.805407 12400.788523 26103.904933
10865.479544 8820.153955 26349.515545
3183.802532 2867.180123 6913.819968
3465.350933 3402.805072 7690.783170
19250.670051 15699.053881 47617.717453
10377.855957 10065.308078 25291.594847
9785.943579 9009.511009 22712.176346
5741.883506 5636.417058 13031.283200
29900.798955 20869.970731 75205.959226
8042.516703 7377.653953 18517.120282
19237.332393 15615.830100 47857.182852
5947.170365 5166.890439 13720.517043
6358.294821 7456.687838 14826.240376
8856.352646 8431.130539 20912.017854
2197.233541 2496.332989 4791.982723
4191.917309 5210.965564 9073.534860
14263.935632 15593.955478 34207.544809
10964.109058 10245.726285 25797.240131
11602.518906 10122.071643 27616.919656
13644.887459 12379.550405 33005.316969
8819.098164 9848.581365 20826.358753
8082.614283 9570.429718 19065.805076
5390.186669 6102.048961 11968.230023
11656.990997 9925.076056 27657.818788
10798.226387 11497.504951 25542.598862
6173.167398 6575.054072 14408.784476
11159.352401 11963.813502 26601.066902
5993.658154 6007.272888 13222.545209
15406.080048 11332.345385 38174.784122
10452.810537 10667.621179 23853.367007
6067.313281 5634.966603 14003.524100
10229.623353 8355.228694 23319.804790
7205.173800 6534.034520 17304.295301
10411.188641 8951.681929 25171.356680
12854.489226 12058.436201 31119.469377
12561.642154 11196.993917 30701.312161
4295.553962 3697.550839 10292.961704
6678.815663 6404.716068 15045.261109
5001.635824 5119.870835 11440.172474
14218.824765 12422.585346 34575.085014
3794.705308 4513.270191 8681.501447
4945.107074 4610.233909 11276.612308
7930.789165 8472.975174 18315.026553
14541.040880 13122.078022 35272.460278
14029.446801 10299.602931 34784.099425
9053.866716 7463.136414 21964.157570
5257.996675 5951.294203 12116.655494
16742.335381 14097.437825 41594.003442
15446.580571 12972.659034 38257.872769
3900.604721 3419.535021 8558.832170
9179.218897 8325.622635 21939.689174
9165.352330 8788.888398 22038.237623
11177.870468 11182.733388 26233.239719
6846.909487 7998.255540 15056.748921
13904.173800 9395.036719 34579.583089
2570.391637 2521.522480 5621.856191
24436.790542 18335.863805 44137.274812
7612.036947 6886.508332 17228.344226
5610.681440 4651.531726 12824.438672
8948.883617 8132.331394 20458.844331
2454.295449 2432.188609 5217.485871
9955.440715 10100.142461 23817.428163
20179.719965 17416.557223 50725.872743
4695.032489 5598.022384 10283.626045
7607.836201 8466.813230 17786.936870
14197.593059 13502.140377 34652.663495
11408.547531 11549.002077 27472.253183
5318.402218 5043.084663 11882.186969
6212.028840 8933.269306 13263.670049
4686.427107 6064.995909 10212.443017
17609.664688 13473.260590 43662.971855
5469.302746 5563.049968 12103.435640
1749.024878 2204.649421 3586.694972
8833.319914 8564.261923 21421.174514
11366.957240 9958.041248 26709.636117
10035.203195 8982.547668 23992.856794
4451.842438 5528.399630 10162.278239
9346.639636 10340.493811 22440.573517
3521.098512 3984.162424 7983.918684
5048.068846 4408.317776 11236.327238
16396.425074 16007.458527 39357.072475
11751.245093 11020.453290 28692.604690
5414.897523 6928.353134 12152.899993
13429.349002 10760.068410 32539.062655
18446.464287 15624.043257 45421.873300
8981.052371 9196.634209 20286.382741
12936.972182 9605.786769 31778.858874
11367.359661 9331.657775 27869.441380
15140.317604 12989.339746 37320.253516
12980.711521 10334.733644 31950.390510
2470.009073 2699.991383 5475.802318
8632.639955 9832.896739 20766.189756
3026.578442 2272.898013 6668.656556
9752.548308 9889.402620 22035.609105
7672.594192 8257.162481 18531.373342
10372.624653 9387.375287 23976.084980
